TRN_OP_DATE,STA_CODE,GATE_IN_COMING_CNT,GATE_OUT_GOING_CNT
20250101,7336,427,409
20250101,7350,1051,1025
20250101,7360,6155,7273
20250101,7361,255,329
20250101,7380,671,655
20250101,7390,393,544
20250102,0900,9756,8918
20250102,0910,1683,1662
20250102,0920,2960,2512
20250102,0930,7410,7141
20250102,0940,3317,3089
20250102,0950,3158,2322
20250102,0960,13390,13011
20250102,0970,16104,17246
20250102,0980,17904,19665
20250102,0990,21236,22602
20250102,1000,62570,64089
20250102,1010,6069,5891
20250102,1020,24393,25039
20250102,1030,4242,3907
20250102,1040,16148,15514
20250102,1050,1706,1643
20250102,1060,1923,1802
20250102,1070,9481,8885
20250102,1075,1918,1754
20250102,1080,28230,28999
20250102,1090,12090,11671
20250102,1100,24042,24796
20250102,1110,7127,6941
20250102,1120,6307,5462
20250102,1130,1989,1901
20250102,1140,438,429
20250102,1150,1190,1165
20250102,1160,3874,3830
20250102,1170,6032,6158
20250102,1180,6740,6722
20250102,1190,3297,3557
20250102,1191,361,399
20250102,1192,2256,2289
20250102,1193,802,944
20250102,1194,4105,4020
20250102,1201,80,73
20250102,1202,395,189
20250102,1203,518,529
20250102,1204,131,118
20250102,1205,36,34
20250102,1206,34,23
20250102,1207,7,219
20250102,1208,314,308
20250102,1210,18459,18932
20250102,1220,1879,1707
20250102,1230,774,725
20250102,1240,335,284
20250102,1250,8964,9200
20250102,2110,75,56
20250102,2120,97,98
20250102,2130,1305,1341
20250102,2140,31,29
20250102,2150,460,471
20250102,2160,40,48
20250102,2170,778,731
20250102,2180,1707,1690
20250102,2190,324,309
20250102,2200,2474,2404
20250102,2210,105,96
20250102,2220,1262,1238
20250102,2230,2379,2363
20250102,2240,459,450
20250102,2250,772,771
20250102,2260,802,246
20250102,3140,409,379
20250102,3150,889,949
20250102,3160,5918,5784
20250102,3170,181,162
20250102,3180,777,783
20250102,3190,730,628
20250102,3210,522,510
20250102,3220,2343,2299
20250102,3230,6750,6862
20250102,3240,1007,964
20250102,3250,2322,2344
20250102,3260,768,716
20250102,3270,2691,2813
20250102,3280,2182,2031
20250102,3290,1353,1377
20250102,3300,20561,20404
20250102,3310,1995,1999
20250102,3320,3373,3276
20250102,3330,556,561
20250102,3340,6852,6731
20250102,3350,563,1206
20250102,3360,11639,11702
20250102,3370,1069,1143
20250102,3380,794,820
20250102,3390,6950,6994
20250102,3400,543,515
20250102,3410,1062,1084
20250102,3420,2201,2191
20250102,3430,871,804
20250102,3431,7,8
20250102,3432,30,44
20250102,3433,2,3
20250102,3434,21,15
20250102,3435,34,33
20250102,3436,30,30
20250102,3450,669,638
20250102,3460,178,194
20250102,3470,4573,4814
20250102,3480,1770,1785
20250102,3490,122,104
20250102,4050,1566,1645
20250102,4060,1795,1997
20250102,4070,690,744
20250102,4080,8679,8742
20250102,4090,622,630
20250102,4100,182,152
20250102,4110,598,550
20250102,4120,4638,4723
20250102,4130,904,951
20250102,4140,526,517
20250102,4150,1234,1279
20250102,4160,184,180
20250102,4170,3455,3503
20250102,4180,1627,1516
20250102,4190,2275,2226
20250102,4200,2972,3121
20250102,4210,4537,4365
20250102,4220,22016,22619
20250102,4250,1468,1568
20250102,4260,797,789
20250102,4270,388,379
20250102,4271,673,731
20250102,4272,2814,2406
20250102,4290,2387,2345
20250102,4300,1726,1808
20250102,4310,2553,2714
20250102,4320,1333,1464
20250102,4330,2444,2377
20250102,4340,10589,10269
20250102,4350,910,827
20250102,4360,1018,1037
20250102,4370,1512,1538
20250102,4380,492,536
20250102,4390,695,791
20250102,4400,13307,13285
20250102,4410,982,961
20250102,4420,1912,1870
20250102,4430,1639,1459
20250102,4440,5305,5257
20250102,4450,686,740
20250102,4460,1268,1215
20250102,4470,201,186
20250102,5000,9470,9660
20250102,5010,311,370
20250102,5020,184,205
20250102,5030,907,914
20250102,5040,264,260
20250102,5050,3774,3627
20250102,5060,232,209
20250102,5070,596,641
20250102,5080,42,33
20250102,5090,502,489
20250102,5100,192,198
20250102,5110,66,77
20250102,5120,956,914
20250102,5130,4,0
20250102,5140,3,0
20250102,5160,2,2
20250102,5190,208,210
